Index,Name,1 [0x0][0x4],2 [0x19][0x8],3 [0x5][0xc]
0,"","",false,0
1,"The Insatiable","The Insatiable",false,1
2,"The True","The True",false,2
3,"Coeurlfist","Coeurlfist",true,3
4,"Ironeater","Ironeater",true,4
5,"Of the Vengeful Lance","Of the Vengeful Lance",false,5
6,"The Godsbow","The Godsbow",false,6
7,"The White","The White",false,7
8,"Starcaller","Starcaller",true,8
9,"The Exterminator","The Exterminator",false,50
10,"Notorious Monster Hunter","Notorious Monster Hunter",true,60
11,"Honest Gillionaire","Honest Gillionaire",true,80
12,"Ruthless Gillionaire","Ruthless Gillionaire",true,80
13,"Warmonger","Warmonger",true,100
14,"Archmage","Archmage",true,101
15,"Builder of the Realm","Builder of the Realm",false,102
16,"Provider of the Realm","Provider of the Realm",false,103
17,"Of the Golden Saw","Of the Golden Saw",false,150
18,"Of the Golden Anvil","Of the Golden Anvil",false,151
19,"Of the Golden Hammer","Of the Golden Hammer",false,152
20,"Of the Golden Leaf","Of the Golden Leaf",false,153
21,"Of the Golden Hide","Of the Golden Hide",false,154
22,"Of the Golden Needle","Of the Golden Needle",false,155
23,"Of the Golden Lead","Of the Golden Lead",false,156
24,"Of the Golden Ladle","Of the Golden Ladle",false,157
25,"Meadowbreaker","Meadowbreaker",true,200
26,"Forestbreaker","Forestbreaker",true,201
27,"Desertbreaker","Desertbreaker",true,202
28,"Of the Meadow Mines","Of the Meadow Mines",false,203
29,"Of the Forest Mines","Of the Forest Mines",false,204
30,"Of the Desert Mines","Of the Desert Mines",false,205
31,"Meadowreaper","Meadowreaper",true,206
32,"Forestreaper","Forestreaper",true,207
33,"Desertreaper","Desertreaper",true,208
34,"Of the Meadow Grasses","Of the Meadow Grasses",false,209
35,"Of the Forest Grasses","Of the Forest Grasses",false,210
36,"Of the Desert Grasses","Of the Desert Grasses",false,211
37,"Meadowcaster","Meadowcaster",true,212
38,"Forestcaster","Forestcaster",true,213
39,"Desertcaster","Desertcaster",true,214
40,"Of the Meadow Pools","Of the Meadow Pools",false,215
41,"Of the Forest Pools","Of the Forest Pools",false,216
42,"Of the Desert Pools","Of the Desert Pools",false,217
43,"Carrier of the Cauldron","Carrier of the Cauldron",false,250
44,"The Assimilator","The Assimilator",false,251
45,"Seeker of Blood","Seeker of Blood",false,300
46,"Seeker of Truth","Seeker of Truth",false,301
47,"Seeker of Skill","Seeker of Skill",false,302
